Date,Open,High,Low,Close,Volume,Stock
2007-07-23,22.97920751,23.09644826,22.8033464,22.85463905,48910600,MSFT
2007-07-24,22.72274034,23.0671348,22.50291292,22.56886101,59729300,MSFT
2007-07-25,22.70808064,22.93523433,22.25377326,22.50290871,54950100,MSFT
2007-07-26,22.15850731,22.3710069,21.62359659,21.96799088,87025300,MSFT
2007-07-27,21.93136159,21.98265422,21.51369138,21.53567314,69214600,MSFT
2007-07-30,21.55032699,21.60894734,21.21326032,21.54299927,67499600,MSFT
2007-07-31,21.77016188,21.7774896,21.23525078,21.24257851,66554000,MSFT
2007-08-01,21.21325771,21.65290959,21.11799878,21.46972084,80006300,MSFT
2007-08-02,21.38912083,21.82877415,21.26455241,21.63092995,47938300,MSFT
2007-08-03,21.57964188,21.82145105,21.17662567,21.22059059,61535500,MSFT
2007-08-06,21.28653104,21.6455822,21.06670511,21.6455822,59530500,MSFT
2007-08-07,21.49170463,21.82877267,21.28653272,21.65291023,49163000,MSFT
2007-08-08,21.77748074,21.98998038,21.40377547,21.98265266,52898600,MSFT
2007-08-09,21.71885765,22.05592568,21.19127456,21.46972084,72964500,MSFT
2007-08-10,21.17662124,21.28653422,20.70765844,21.03739738,76576200,MSFT
2007-08-13,21.20593394,21.24257113,20.83955637,20.97877884,55492300,MSFT
2007-08-14,21.15525556,21.24349359,20.73612143,20.78759384,42944100,MSFT
2007-08-15,20.76553295,21.31702551,20.62582111,20.66258812,48117700,MSFT
2007-08-16,20.50081896,20.84642191,20.22875005,20.44934654,81447400,MSFT
2007-08-17,20.65524033,20.772892,20.45670262,20.772892,76747700,MSFT
2007-08-20,20.72141139,20.94936122,20.64787878,20.7802372,49952000,MSFT
2007-08-21,20.66259175,20.82436242,20.49346767,20.64053154,50786200,MSFT
2007-08-22,20.78758907,20.82435467,20.59640485,20.75082207,44763500,MSFT
2007-08-23,20.79495264,20.83171826,20.66259417,20.80965805,33886600,MSFT
2007-08-24,20.74347698,21.20673161,20.64053214,21.1846714,45158900,MSFT
2007-08-27,21.03760122,21.15525284,20.88318259,20.9493618,32789500,MSFT
2007-08-28,20.8096532,20.94936505,20.5228775,20.5375843,43924400,MSFT
2007-08-29,20.68464257,21.0375988,20.45669275,21.022892,45753700,MSFT
2007-08-30,20.89789409,21.27290925,20.82436146,20.9199543,33690700,MSFT
2007-08-31,21.10378424,21.2655549,20.85377415,21.12584305,42511900,MSFT
2007-09-04,20.95672149,21.39791591,20.94201468,21.1846714,45689600,MSFT
2007-09-05,21.06702359,21.12584943,20.89789948,20.94201851,47669800,MSFT
2007-09-06,21.0008381,21.33173423,20.9934847,21.2582016,45430800,MSFT
2007-09-07,21.04495609,21.19937333,20.82435823,20.91259766,52160900,MSFT
2007-09-10,21.0817304,21.14055624,20.89054607,20.94201851,37247600,MSFT
